ČR a kraje,Ukazatel,Pohlaví,Roky,Postavení v zaměstnání,value
Česko,Zaměstnaní (tis. osob),Celkem,2015,Pomáhající rodinní příslušníci,30.3589616025
Česko,Zaměstnaní (tis. osob),Celkem,2015,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,2014,Celkem,4974.2949243675
Česko,Zaměstnaní (tis. osob),Celkem,2014,"Zaměstnanci, členové produkčních družstev",4079.26363547
Česko,Zaměstnaní (tis. osob),Celkem,2014,Zaměstnavatelé,171.9768685175
Česko,Zaměstnaní (tis. osob),Celkem,2014,Osoby pracující na vlastní účet,693.5435912075
Česko,Zaměstnaní (tis. osob),Celkem,2014,Pomáhající rodinní příslušníci,29.5108291725
Česko,Zaměstnaní (tis. osob),Celkem,2014,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,2013,Celkem,4937.0837664125
Česko,Zaměstnaní (tis. osob),Celkem,2013,"Zaměstnanci, členové produkčních družstev",4055.18038034751
Česko,Zaměstnaní (tis. osob),Celkem,2013,Zaměstnavatelé,166.016201845
Česko,Zaměstnaní (tis. osob),Celkem,2013,Osoby pracující na vlastní účet,669.136216755
Česko,Zaměstnaní (tis. osob),Celkem,2013,Pomáhající rodinní příslušníci,46.750967465
Česko,Zaměstnaní (tis. osob),Celkem,2013,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,2012,Celkem,4890.0533046025
Česko,Zaměstnaní (tis. osob),Celkem,2012,"Zaměstnanci, členové produkčních družstev",3989.524678015
Česko,Zaměstnaní (tis. osob),Celkem,2012,Zaměstnavatelé,165.59967933
Česko,Zaměstnaní (tis. osob),Celkem,2012,Osoby pracující na vlastní účet,706.8036803825
Česko,Zaměstnaní (tis. osob),Celkem,2012,Pomáhající rodinní příslušníci,28.125266875
Česko,Zaměstnaní (tis. osob),Celkem,2012,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,2011,Celkem,4872.406288355
Česko,Zaměstnaní (tis. osob),Celkem,2011,"Zaměstnanci, členové produkčních družstev",3992.88228979251
Česko,Zaměstnaní (tis. osob),Celkem,2011,Zaměstnavatelé,175.989795885
Česko,Zaměstnaní (tis. osob),Celkem,2011,Osoby pracující na vlastní účet,677.805144705
Česko,Zaměstnaní (tis. osob),Celkem,2011,Pomáhající rodinní příslušníci,25.7290579725
Česko,Zaměstnaní (tis. osob),Celkem,2011,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,2010,Celkem,4885.23938857002
Česko,Zaměstnaní (tis. osob),Celkem,2010,"Zaměstnanci, členové produkčních družstev",4019.23357731054
Česko,Zaměstnaní (tis. osob),Celkem,2010,Zaměstnavatelé,178.07862068565
Česko,Zaměstnaní (tis. osob),Celkem,2010,Osoby pracující na vlastní účet,658.326614502025
Česko,Zaměstnaní (tis. osob),Celkem,2010,Pomáhající rodinní příslušníci,29.4852945828
Česko,Zaměstnaní (tis. osob),Celkem,2010,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2009,Celkem,4934.26802131305
Česko,Zaměstnaní (tis. osob),Celkem,2009,"Zaměstnanci, členové produkčních družstev",4106.95983067462
Česko,Zaměstnaní (tis. osob),Celkem,2009,Zaměstnavatelé,183.5903831054
Česko,Zaměstnaní (tis. osob),Celkem,2009,Osoby pracující na vlastní účet,614.232606504749
Česko,Zaměstnaní (tis. osob),Celkem,2009,Pomáhající rodinní příslušníci,29.485201028275
Česko,Zaměstnaní (tis. osob),Celkem,2009,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2008,Celkem,5002.49725271045
Česko,Zaměstnaní (tis. osob),Celkem,2008,"Zaměstnanci, členové produkčních družstev",4195.86292590706
Česko,Zaměstnaní (tis. osob),Celkem,2008,Zaměstnavatelé,178.684178241975
Česko,Zaměstnaní (tis. osob),Celkem,2008,Osoby pracující na vlastní účet,596.3270551274
Česko,Zaměstnaní (tis. osob),Celkem,2008,Pomáhající rodinní příslušníci,31.476392951525
Česko,Zaměstnaní (tis. osob),Celkem,2008,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2007,Celkem,4921.99271230118
Česko,Zaměstnaní (tis. osob),Celkem,2007,"Zaměstnanci, členové produkčních družstev",4125.28566726396
Česko,Zaměstnaní (tis. osob),Celkem,2007,Zaměstnavatelé,183.9667148809
Česko,Zaměstnaní (tis. osob),Celkem,2007,Osoby pracující na vlastní účet,582.260105258251
Česko,Zaměstnaní (tis. osob),Celkem,2007,Pomáhající rodinní příslušníci,29.762611903575
Česko,Zaměstnaní (tis. osob),Celkem,2007,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2006,Celkem,4828.06495215397
Česko,Zaměstnaní (tis. osob),Celkem,2006,"Zaměstnanci, členové produkčních družstev",4048.26207773072
Česko,Zaměstnaní (tis. osob),Celkem,2006,Zaměstnavatelé,195.873796521125
Česko,Zaměstnaní (tis. osob),Celkem,2006,Osoby pracující na vlastní účet,550.80451953745
Česko,Zaměstnaní (tis. osob),Celkem,2006,Pomáhající rodinní příslušníci,32.476734100175
Česko,Zaměstnaní (tis. osob),Celkem,2006,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2005,Celkem,4764.01578891898
Česko,Zaměstnaní (tis. osob),Celkem,2005,"Zaměstnanci, členové produkčních družstev",4000.77165197636
Česko,Zaměstnaní (tis. osob),Celkem,2005,Zaměstnavatelé,177.1421405749
Česko,Zaměstnaní (tis. osob),Celkem,2005,Osoby pracující na vlastní účet,551.066584638649
Česko,Zaměstnaní (tis. osob),Celkem,2005,Pomáhající rodinní příslušníci,34.967992354075
Česko,Zaměstnaní (tis. osob),Celkem,2005,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2004,Celkem,4706.62698308102
Česko,Zaměstnaní (tis. osob),Celkem,2004,"Zaměstnanci, členové produkčních družstev",3914.46198720544
Česko,Zaměstnaní (tis. osob),Celkem,2004,Zaměstnavatelé,187.534243053
Česko,Zaměstnaní (tis. osob),Celkem,2004,Osoby pracující na vlastní účet,573.2150546715
Česko,Zaměstnaní (tis. osob),Celkem,2004,Pomáhající rodinní příslušníci,31.078802575825
Česko,Zaměstnaní (tis. osob),Celkem,2004,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2003,Celkem,4733.18197658862
Česko,Zaměstnaní (tis. osob),Celkem,2003,"Zaměstnanci, členové produkčních družstev",3921.73065718907
Česko,Zaměstnaní (tis. osob),Celkem,2003,Zaměstnavatelé,196.7674499413
Česko,Zaměstnaní (tis. osob),Celkem,2003,Osoby pracující na vlastní účet,581.274808741575
Česko,Zaměstnaní (tis. osob),Celkem,2003,Pomáhající rodinní příslušníci,33.017281388425
Česko,Zaměstnaní (tis. osob),Celkem,2003,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2002,Celkem,4764.91473416681
Česko,Zaměstnaní (tis. osob),Celkem,2002,"Zaměstnanci, členové produkčních družstev",4002.19441053238
Česko,Zaměstnaní (tis. osob),Celkem,2002,Zaměstnavatelé,192.585377224575
Česko,Zaměstnaní (tis. osob),Celkem,2002,Osoby pracující na vlastní účet,540.512016924301
Česko,Zaměstnaní (tis. osob),Celkem,2002,Pomáhající rodinní příslušníci,28.94780524255
Česko,Zaměstnaní (tis. osob),Celkem,2002,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2001,Celkem,4727.69242236262
Česko,Zaměstnaní (tis. osob),Celkem,2001,"Zaměstnanci, členové produkčních družstev",4013.61335033152
Česko,Zaměstnaní (tis. osob),Celkem,2001,Zaměstnavatelé,186.152904157825
Česko,Zaměstnaní (tis. osob),Celkem,2001,Osoby pracující na vlastní účet,499.7254354979
Česko,Zaměstnaní (tis. osob),Celkem,2001,Pomáhající rodinní příslušníci,27.670339182375
Česko,Zaměstnaní (tis. osob),Celkem,2001,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2000,Celkem,4731.60295060916
Česko,Zaměstnaní (tis. osob),Celkem,2000,"Zaměstnanci, členové produkčních družstev",4022.44264614829
Česko,Zaměstnaní (tis. osob),Celkem,2000,Zaměstnavatelé,196.19916519585
Česko,Zaměstnaní (tis. osob),Celkem,2000,Osoby pracující na vlastní účet,486.119384744874
Česko,Zaměstnaní (tis. osob),Celkem,2000,Pomáhající rodinní příslušníci,26.55155812015
Česko,Zaměstnaní (tis. osob),Celkem,2000,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,1999,Celkem,4764.099031025
Česko,Zaměstnaní (tis. osob),Celkem,1999,"Zaměstnanci, členové produkčních družstev",4079.239878125
Česko,Zaměstnaní (tis. osob),Celkem,1999,Zaměstnavatelé,195.735068225
Česko,Zaměstnaní (tis. osob),Celkem,1999,Osoby pracující na vlastní účet,464.0006354
Česko,Zaměstnaní (tis. osob),Celkem,1999,Pomáhající rodinní příslušníci,25.067275075
Česko,Zaměstnaní (tis. osob),Celkem,1999,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,1998,Celkem,4865.73666342501
Česko,Zaměstnaní (tis. osob),Celkem,1998,"Zaměstnanci, členové produkčních družstev",4202.91407265001
Česko,Zaměstnaní (tis. osob),Celkem,1998,Zaměstnavatelé,202.4990299
Česko,Zaměstnaní (tis. osob),Celkem,1998,Osoby pracující na vlastní účet,437.4587345
Česko,Zaměstnaní (tis. osob),Celkem,1998,Pomáhající rodinní příslušníci,22.6455226
Česko,Zaměstnaní (tis. osob),Celkem,1998,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,1997,Celkem,4936.52549404997
Česko,Zaměstnaní (tis. osob),Celkem,1997,"Zaměstnanci, členové produkčních družstev",4329.41248489996
Česko,Zaměstnaní (tis. osob),Celkem,1997,Zaměstnavatelé,198.70463935
Česko,Zaměstnaní (tis. osob),Celkem,1997,Osoby pracující na vlastní účet,388.449011125
Česko,Zaměstnaní (tis. osob),Celkem,1997,Pomáhající rodinní příslušníci,19.88766705
Česko,Zaměstnaní (tis. osob),Celkem,1997,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,1996,Celkem,4971.99141295001
Česko,Zaměstnaní (tis. osob),Celkem,1996,"Zaměstnanci, členové produkčních družstev",4369.40683905001
Česko,Zaměstnaní (tis. osob),Celkem,1996,Zaměstnavatelé,202.335936775
Česko,Zaměstnaní (tis. osob),Celkem,1996,Osoby pracující na vlastní účet,377.752833824999
Česko,Zaměstnaní (tis. osob),Celkem,1996,Pomáhající rodinní příslušníci,22.2898512
Česko,Zaměstnaní (tis. osob),Celkem,1996,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,1995,Celkem,4962.57802977494
Česko,Zaměstnaní (tis. osob),Celkem,1995,"Zaměstnanci, členové produkčních družstev",4373.87229739994
Česko,Zaměstnaní (tis. osob),Celkem,1995,Zaměstnavatelé,187.959048475
Česko,Zaměstnaní (tis. osob),Celkem,1995,Osoby pracující na vlastní účet,374.626383599999
Česko,Zaměstnaní (tis. osob),Celkem,1995,Pomáhající rodinní příslušníci,25.7572474
Česko,Zaměstnaní (tis. osob),Celkem,1995,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,1994,Celkem,4926.76648345
Česko,Zaměstnaní (tis. osob),Celkem,1994,"Zaměstnanci, členové produkčních družstev",4410.80366975001
Česko,Zaměstnaní (tis. osob),Celkem,1994,Zaměstnavatelé,156.623692525
Česko,Zaměstnaní (tis. osob),Celkem,1994,Osoby pracující na vlastní účet,338.673421
Česko,Zaměstnaní (tis. osob),Celkem,1994,Pomáhající rodinní příslušníci,20.2202501
Česko,Zaměstnaní (tis. osob),Celkem,1994,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,1993,Celkem,4873.54198795002
Česko,Zaměstnaní (tis. osob),Celkem,1993,"Zaměstnanci, členové produkčních družstev",4420.21215702502
Česko,Zaměstnaní (tis. osob),Celkem,1993,Zaměstnavatelé,130.5289159
Česko,Zaměstnaní (tis. osob),Celkem,1993,Osoby pracující na vlastní účet,308.237956375
Česko,Zaměstnaní (tis. osob),Celkem,1993,Pomáhající rodinní příslušníci,14.3646215
Česko,Zaměstnaní (tis. osob),Celkem,1993,Nezjištěno,
