Roky,Ukazatel,Pohlaví,Území,Věkové skupiny,value
2024,Nezaměstnaní (tis. osob),Celkem,Královéhradecký kraj,15 až 24 let,1.3002232803
2024,Nezaměstnaní (tis. osob),Celkem,Královéhradecký kraj,25 až 29 let,0.858833252
2024,Nezaměstnaní (tis. osob),Celkem,Královéhradecký kraj,30 až 34 let,1.3673369537
2024,Nezaměstnaní (tis. osob),Celkem,Královéhradecký kraj,35 až 44 let,1.7971647628
2024,Nezaměstnaní (tis. osob),Celkem,Královéhradecký kraj,45 až 54 let,2.393159745
2024,Nezaměstnaní (tis. osob),Celkem,Královéhradecký kraj,55 a více let,1.4856795745
2024,Nezaměstnaní (tis. osob),Celkem,Pardubický kraj,Celkem,5.2285772398
2024,Nezaměstnaní (tis. osob),Celkem,Pardubický kraj,15 až 24 let,0.779406094
2024,Nezaměstnaní (tis. osob),Celkem,Pardubický kraj,25 až 29 let,0.8466100305
2024,Nezaměstnaní (tis. osob),Celkem,Pardubický kraj,30 až 34 let,
2024,Nezaměstnaní (tis. osob),Celkem,Pardubický kraj,35 až 44 let,1.1688116595
2024,Nezaměstnaní (tis. osob),Celkem,Pardubický kraj,45 až 54 let,0.7145683853
2024,Nezaměstnaní (tis. osob),Celkem,Pardubický kraj,55 a více let,1.3691721225
2024,Nezaměstnaní (tis. osob),Celkem,Kraj Vysočina,Celkem,4.6928055993
2024,Nezaměstnaní (tis. osob),Celkem,Kraj Vysočina,15 až 24 let,1.2539356645
2024,Nezaměstnaní (tis. osob),Celkem,Kraj Vysočina,25 až 29 let,
2024,Nezaměstnaní (tis. osob),Celkem,Kraj Vysočina,30 až 34 let,0.5448304935
2024,Nezaměstnaní (tis. osob),Celkem,Kraj Vysočina,35 až 44 let,0.969703181
2024,Nezaměstnaní (tis. osob),Celkem,Kraj Vysočina,45 až 54 let,0.746444441
2024,Nezaměstnaní (tis. osob),Celkem,Kraj Vysočina,55 a více let,0.7159822863
2024,Nezaměstnaní (tis. osob),Celkem,Jihomoravský kraj,Celkem,15.870253012
2024,Nezaměstnaní (tis. osob),Celkem,Jihomoravský kraj,15 až 24 let,2.6511551013
2024,Nezaměstnaní (tis. osob),Celkem,Jihomoravský kraj,25 až 29 let,1.6039181533
2024,Nezaměstnaní (tis. osob),Celkem,Jihomoravský kraj,30 až 34 let,1.0677156438
2024,Nezaměstnaní (tis. osob),Celkem,Jihomoravský kraj,35 až 44 let,3.9089361095
2024,Nezaměstnaní (tis. osob),Celkem,Jihomoravský kraj,45 až 54 let,4.1517862293
2024,Nezaměstnaní (tis. osob),Celkem,Jihomoravský kraj,55 a více let,2.4867417748
2024,Nezaměstnaní (tis. osob),Celkem,Olomoucký kraj,Celkem,9.7612648142
2024,Nezaměstnaní (tis. osob),Celkem,Olomoucký kraj,15 až 24 let,1.746744758
2024,Nezaměstnaní (tis. osob),Celkem,Olomoucký kraj,25 až 29 let,0.9191678075
2024,Nezaměstnaní (tis. osob),Celkem,Olomoucký kraj,30 až 34 let,0.8624781505
2024,Nezaměstnaní (tis. osob),Celkem,Olomoucký kraj,35 až 44 let,2.1743640405
2024,Nezaměstnaní (tis. osob),Celkem,Olomoucký kraj,45 až 54 let,2.7278418978
2024,Nezaměstnaní (tis. osob),Celkem,Olomoucký kraj,55 a více let,1.33066816
2024,Nezaměstnaní (tis. osob),Celkem,Zlínský kraj,Celkem,5.4796472673
2024,Nezaměstnaní (tis. osob),Celkem,Zlínský kraj,15 až 24 let,0.9191123393
2024,Nezaměstnaní (tis. osob),Celkem,Zlínský kraj,25 až 29 let,
2024,Nezaměstnaní (tis. osob),Celkem,Zlínský kraj,30 až 34 let,0.9470111628
2024,Nezaměstnaní (tis. osob),Celkem,Zlínský kraj,35 až 44 let,0.550639803
2024,Nezaměstnaní (tis. osob),Celkem,Zlínský kraj,45 až 54 let,1.7081250075
2024,Nezaměstnaní (tis. osob),Celkem,Zlínský kraj,55 a více let,1.2673111123
2024,Nezaměstnaní (tis. osob),Celkem,Moravskoslezský kraj,Celkem,23.343828155
2024,Nezaměstnaní (tis. osob),Celkem,Moravskoslezský kraj,15 až 24 let,4.0375840683
2024,Nezaměstnaní (tis. osob),Celkem,Moravskoslezský kraj,25 až 29 let,2.752472567
2024,Nezaměstnaní (tis. osob),Celkem,Moravskoslezský kraj,30 až 34 let,3.360991798
2024,Nezaměstnaní (tis. osob),Celkem,Moravskoslezský kraj,35 až 44 let,5.1813645805
2024,Nezaměstnaní (tis. osob),Celkem,Moravskoslezský kraj,45 až 54 let,4.7299576075
2024,Nezaměstnaní (tis. osob),Celkem,Moravskoslezský kraj,55 a více let,3.281457534
