Ukazatel;SO ORP;Příčiny smrti (pro SO ORP);Roky;value
Zemřelí;Aš;zhoubný novotvar slinivky břišní (C25);2018;2.0
Zemřelí;Aš;zhoubný novotvar slinivky břišní (C25);2017;2.0
Zemřelí;Aš;zhoubný novotvar slinivky břišní (C25);2016;5.0
Zemřelí;Aš;zhoubný novotvar slinivky břišní (C25);2015;3.0
Zemřelí;Aš;zhoubný novotvar slinivky břišní (C25);2014;1.0
Zemřelí;Aš;zhoubný novotvar slinivky břišní (C25);2013;1.0
Zemřelí;Aš;zhoubný novotvar slinivky břišní (C25);2012;2.0
Zemřelí;Aš;zhoubný novotvar průdušnice, průdušky a plíce (C33-C34);2024;
Zemřelí;Aš;zhoubný novotvar průdušnice, průdušky a plíce (C33-C34);2023;5.0
Zemřelí;Aš;zhoubný novotvar průdušnice, průdušky a plíce (C33-C34);2022;16.0
Zemřelí;Aš;zhoubný novotvar průdušnice, průdušky a plíce (C33-C34);2021;8.0
Zemřelí;Aš;zhoubný novotvar průdušnice, průdušky a plíce (C33-C34);2020;11.0
Zemřelí;Aš;zhoubný novotvar průdušnice, průdušky a plíce (C33-C34);2019;12.0
Zemřelí;Aš;zhoubný novotvar průdušnice, průdušky a plíce (C33-C34);2018;12.0
Zemřelí;Aš;zhoubný novotvar průdušnice, průdušky a plíce (C33-C34);2017;11.0
Zemřelí;Aš;zhoubný novotvar průdušnice, průdušky a plíce (C33-C34);2016;11.0
Zemřelí;Aš;zhoubný novotvar průdušnice, průdušky a plíce (C33-C34);2015;16.0
Zemřelí;Aš;zhoubný novotvar průdušnice, průdušky a plíce (C33-C34);2014;9.0
Zemřelí;Aš;zhoubný novotvar průdušnice, průdušky a plíce (C33-C34);2013;17.0
Zemřelí;Aš;zhoubný novotvar průdušnice, průdušky a plíce (C33-C34);2012;8.0
Zemřelí;Aš;zhoubný novotvar prsu (C50);2024;
Zemřelí;Aš;zhoubný novotvar prsu (C50);2023;1.0
Zemřelí;Aš;zhoubný novotvar prsu (C50);2022;5.0
Zemřelí;Aš;zhoubný novotvar prsu (C50);2021;3.0
Zemřelí;Aš;zhoubný novotvar prsu (C50);2020;4.0
Zemřelí;Aš;zhoubný novotvar prsu (C50);2019;3.0
Zemřelí;Aš;zhoubný novotvar prsu (C50);2018;5.0
Zemřelí;Aš;zhoubný novotvar prsu (C50);2017;0.0
Zemřelí;Aš;zhoubný novotvar prsu (C50);2016;3.0
Zemřelí;Aš;zhoubný novotvar prsu (C50);2015;2.0
Zemřelí;Aš;zhoubný novotvar prsu (C50);2014;3.0
Zemřelí;Aš;zhoubný novotvar prsu (C50);2013;1.0
Zemřelí;Aš;zhoubný novotvar prsu (C50);2012;5.0
Zemřelí;Aš;IV. Nemoci endokrinní, výživy a přeměny látek (E00-E90);2024;
Zemřelí;Aš;IV. Nemoci endokrinní, výživy a přeměny látek (E00-E90);2023;17.0
Zemřelí;Aš;IV. Nemoci endokrinní, výživy a přeměny látek (E00-E90);2022;14.0
Zemřelí;Aš;IV. Nemoci endokrinní, výživy a přeměny látek (E00-E90);2021;17.0
Zemřelí;Aš;IV. Nemoci endokrinní, výživy a přeměny látek (E00-E90);2020;22.0
Zemřelí;Aš;IV. Nemoci endokrinní, výživy a přeměny látek (E00-E90);2019;12.0
Zemřelí;Aš;IV. Nemoci endokrinní, výživy a přeměny látek (E00-E90);2018;11.0
Zemřelí;Aš;IV. Nemoci endokrinní, výživy a přeměny látek (E00-E90);2017;8.0
Zemřelí;Aš;IV. Nemoci endokrinní, výživy a přeměny látek (E00-E90);2016;10.0
Zemřelí;Aš;IV. Nemoci endokrinní, výživy a přeměny látek (E00-E90);2015;7.0
Zemřelí;Aš;IV. Nemoci endokrinní, výživy a přeměny látek (E00-E90);2014;4.0
Zemřelí;Aš;IV. Nemoci endokrinní, výživy a přeměny látek (E00-E90);2013;9.0
Zemřelí;Aš;IV. Nemoci endokrinní, výživy a přeměny látek (E00-E90);2012;7.0
Zemřelí;Aš;VI. Nemoci nervové soustavy (G00-G99);2024;
Zemřelí;Aš;VI. Nemoci nervové soustavy (G00-G99);2023;4.0
Zemřelí;Aš;VI. Nemoci nervové soustavy (G00-G99);2022;6.0
Zemřelí;Aš;VI. Nemoci nervové soustavy (G00-G99);2021;6.0
Zemřelí;Aš;VI. Nemoci nervové soustavy (G00-G99);2020;4.0
Zemřelí;Aš;VI. Nemoci nervové soustavy (G00-G99);2019;5.0
Zemřelí;Aš;VI. Nemoci nervové soustavy (G00-G99);2018;4.0
Zemřelí;Aš;VI. Nemoci nervové soustavy (G00-G99);2017;8.0
Zemřelí;Aš;VI. Nemoci nervové soustavy (G00-G99);2016;3.0
Zemřelí;Aš;VI. Nemoci nervové soustavy (G00-G99);2015;1.0
Zemřelí;Aš;VI. Nemoci nervové soustavy (G00-G99);2014;0.0
Zemřelí;Aš;VI. Nemoci nervové soustavy (G00-G99);2013;5.0
Zemřelí;Aš;VI. Nemoci nervové soustavy (G00-G99);2012;1.0
Zemřelí;Aš;IX. Nemoci oběhové soustavy (I00-I99);2024;
Zemřelí;Aš;IX. Nemoci oběhové soustavy (I00-I99);2023;86.0
Zemřelí;Aš;IX. Nemoci oběhové soustavy (I00-I99);2022;92.0
Zemřelí;Aš;IX. Nemoci oběhové soustavy (I00-I99);2021;77.0
Zemřelí;Aš;IX. Nemoci oběhové soustavy (I00-I99);2020;82.0
Zemřelí;Aš;IX. Nemoci oběhové soustavy (I00-I99);2019;78.0
Zemřelí;Aš;IX. Nemoci oběhové soustavy (I00-I99);2018;96.0
Zemřelí;Aš;IX. Nemoci oběhové soustavy (I00-I99);2017;91.0
Zemřelí;Aš;IX. Nemoci oběhové soustavy (I00-I99);2016;64.0
Zemřelí;Aš;IX. Nemoci oběhové soustavy (I00-I99);2015;82.0
Zemřelí;Aš;IX. Nemoci oběhové soustavy (I00-I99);2014;78.0
Zemřelí;Aš;IX. Nemoci oběhové soustavy (I00-I99);2013;96.0
Zemřelí;Aš;IX. Nemoci oběhové soustavy (I00-I99);2012;74.0
Zemřelí;Aš;ischemické nemoci srdeční (I20-I25);2024;
Zemřelí;Aš;ischemické nemoci srdeční (I20-I25);2023;40.0
Zemřelí;Aš;ischemické nemoci srdeční (I20-I25);2022;57.0
Zemřelí;Aš;ischemické nemoci srdeční (I20-I25);2021;39.0
Zemřelí;Aš;ischemické nemoci srdeční (I20-I25);2020;40.0
Zemřelí;Aš;ischemické nemoci srdeční (I20-I25);2019;42.0
Zemřelí;Aš;ischemické nemoci srdeční (I20-I25);2018;52.0
Zemřelí;Aš;ischemické nemoci srdeční (I20-I25);2017;50.0
Zemřelí;Aš;ischemické nemoci srdeční (I20-I25);2016;38.0
Zemřelí;Aš;ischemické nemoci srdeční (I20-I25);2015;41.0
Zemřelí;Aš;ischemické nemoci srdeční (I20-I25);2014;39.0
Zemřelí;Aš;ischemické nemoci srdeční (I20-I25);2013;51.0
Zemřelí;Aš;ischemické nemoci srdeční (I20-I25);2012;38.0
Zemřelí;Aš;akutní a pokračující infarkt myokardu (I21-I22);2024;
Zemřelí;Aš;akutní a pokračující infarkt myokardu (I21-I22);2023;7.0
Zemřelí;Aš;akutní a pokračující infarkt myokardu (I21-I22);2022;6.0
Zemřelí;Aš;akutní a pokračující infarkt myokardu (I21-I22);2021;3.0
Zemřelí;Aš;akutní a pokračující infarkt myokardu (I21-I22);2020;10.0
Zemřelí;Aš;akutní a pokračující infarkt myokardu (I21-I22);2019;4.0
Zemřelí;Aš;akutní a pokračující infarkt myokardu (I21-I22);2018;5.0
Zemřelí;Aš;akutní a pokračující infarkt myokardu (I21-I22);2017;10.0
Zemřelí;Aš;akutní a pokračující infarkt myokardu (I21-I22);2016;7.0
Zemřelí;Aš;akutní a pokračující infarkt myokardu (I21-I22);2015;11.0
Zemřelí;Aš;akutní a pokračující infarkt myokardu (I21-I22);2014;10.0
Zemřelí;Aš;akutní a pokračující infarkt myokardu (I21-I22);2013;11.0
Zemřelí;Aš;akutní a pokračující infarkt myokardu (I21-I22);2012;12.0
Zemřelí;Aš;cévní nemoci mozku (I60-I69);2024;
Zemřelí;Aš;cévní nemoci mozku (I60-I69);2023;11.0
Zemřelí;Aš;cévní nemoci mozku (I60-I69);2022;13.0
Zemřelí;Aš;cévní nemoci mozku (I60-I69);2021;7.0
Zemřelí;Aš;cévní nemoci mozku (I60-I69);2020;11.0
Zemřelí;Aš;cévní nemoci mozku (I60-I69);2019;8.0
Zemřelí;Aš;cévní nemoci mozku (I60-I69);2018;14.0
Zemřelí;Aš;cévní nemoci mozku (I60-I69);2017;14.0
Zemřelí;Aš;cévní nemoci mozku (I60-I69);2016;9.0
Zemřelí;Aš;cévní nemoci mozku (I60-I69);2015;13.0
Zemřelí;Aš;cévní nemoci mozku (I60-I69);2014;12.0
Zemřelí;Aš;cévní nemoci mozku (I60-I69);2013;17.0
Zemřelí;Aš;cévní nemoci mozku (I60-I69);2012;13.0
Zemřelí;Aš;X. Nemoci dýchací soustavy (J00-J99);2024;
Zemřelí;Aš;X. Nemoci dýchací soustavy (J00-J99);2023;25.0
Zemřelí;Aš;X. Nemoci dýchací soustavy (J00-J99);2022;16.0
Zemřelí;Aš;X. Nemoci dýchací soustavy (J00-J99);2021;12.0
Zemřelí;Aš;X. Nemoci dýchací soustavy (J00-J99);2020;17.0
Zemřelí;Aš;X. Nemoci dýchací soustavy (J00-J99);2019;22.0
Zemřelí;Aš;X. Nemoci dýchací soustavy (J00-J99);2018;19.0
Zemřelí;Aš;X. Nemoci dýchací soustavy (J00-J99);2017;18.0
Zemřelí;Aš;X. Nemoci dýchací soustavy (J00-J99);2016;12.0
Zemřelí;Aš;X. Nemoci dýchací soustavy (J00-J99);2015;12.0
Zemřelí;Aš;X. Nemoci dýchací soustavy (J00-J99);2014;15.0
Zemřelí;Aš;X. Nemoci dýchací soustavy (J00-J99);2013;10.0
Zemřelí;Aš;X. Nemoci dýchací soustavy (J00-J99);2012;5.0
Zemřelí;Aš;záněty plic (J12-J18);2024;
Zemřelí;Aš;záněty plic (J12-J18);2023;10.0
Zemřelí;Aš;záněty plic (J12-J18);2022;7.0
Zemřelí;Aš;záněty plic (J12-J18);2021;2.0
Zemřelí;Aš;záněty plic (J12-J18);2020;4.0
Zemřelí;Aš;záněty plic (J12-J18);2019;6.0
Zemřelí;Aš;záněty plic (J12-J18);2018;2.0
Zemřelí;Aš;záněty plic (J12-J18);2017;5.0
Zemřelí;Aš;záněty plic (J12-J18);2016;3.0
Zemřelí;Aš;záněty plic (J12-J18);2015;1.0
Zemřelí;Aš;záněty plic (J12-J18);2014;3.0
Zemřelí;Aš;záněty plic (J12-J18);2013;2.0
Zemřelí;Aš;záněty plic (J12-J18);2012;4.0
Zemřelí;Aš;XI. Nemoci trávicí soustavy (K00-K93);2024;
Zemřelí;Aš;XI. Nemoci trávicí soustavy (K00-K93);2023;5.0
Zemřelí;Aš;XI. Nemoci trávicí soustavy (K00-K93);2022;12.0
Zemřelí;Aš;XI. Nemoci trávicí soustavy (K00-K93);2021;9.0
Zemřelí;Aš;XI. Nemoci trávicí soustavy (K00-K93);2020;5.0
Zemřelí;Aš;XI. Nemoci trávicí soustavy (K00-K93);2019;7.0
Zemřelí;Aš;XI. Nemoci trávicí soustavy (K00-K93);2018;5.0
Zemřelí;Aš;XI. Nemoci trávicí soustavy (K00-K93);2017;11.0
Zemřelí;Aš;XI. Nemoci trávicí soustavy (K00-K93);2016;5.0
Zemřelí;Aš;XI. Nemoci trávicí soustavy (K00-K93);2015;5.0
Zemřelí;Aš;XI. Nemoci trávicí soustavy (K00-K93);2014;10.0
Zemřelí;Aš;XI. Nemoci trávicí soustavy (K00-K93);2013;2.0
Zemřelí;Aš;XI. Nemoci trávicí soustavy (K00-K93);2012;9.0
Zemřelí;Aš;XXII. Kódy pro speciální účely (U00-U85);2024;
Zemřelí;Aš;XXII. Kódy pro speciální účely (U00-U85);2023;1.0
Zemřelí;Aš;XXII. Kódy pro speciální účely (U00-U85);2022;8.0
Zemřelí;Aš;XXII. Kódy pro speciální účely (U00-U85);2021;108.0
Zemřelí;Aš;XXII. Kódy pro speciální účely (U00-U85);2020;16.0
Zemřelí;Aš;XXII. Kódy pro speciální účely (U00-U85);2019;0.0
Zemřelí;Aš;XXII. Kódy pro speciální účely (U00-U85);2018;0.0
Zemřelí;Aš;XXII. Kódy pro speciální účely (U00-U85);2017;0.0
Zemřelí;Aš;XXII. Kódy pro speciální účely (U00-U85);2016;0.0
Zemřelí;Aš;XXII. Kódy pro speciální účely (U00-U85);2015;0.0
Zemřelí;Aš;XXII. Kódy pro speciální účely (U00-U85);2014;0.0
Zemřelí;Aš;XXII. Kódy pro speciální účely (U00-U85);2013;0.0
Zemřelí;Aš;XXII. Kódy pro speciální účely (U00-U85);2012;0.0
Zemřelí;Aš;Covid-19 včetně multisystémového zánětlivého syndromu (U07, U10);2024;
Zemřelí;Aš;Covid-19 včetně multisystémového zánětlivého syndromu (U07, U10);2023;1.0
Zemřelí;Aš;Covid-19 včetně multisystémového zánětlivého syndromu (U07, U10);2022;8.0
Zemřelí;Aš;Covid-19 včetně multisystémového zánětlivého syndromu (U07, U10);2021;108.0
Zemřelí;Aš;Covid-19 včetně multisystémového zánětlivého syndromu (U07, U10);2020;16.0
Zemřelí;Aš;Covid-19 včetně multisystémového zánětlivého syndromu (U07, U10);2019;
Zemřelí;Aš;Covid-19 včetně multisystémového zánětlivého syndromu (U07, U10);2018;
Zemřelí;Aš;Covid-19 včetně multisystémového zánětlivého syndromu (U07, U10);2017;
Zemřelí;Aš;Covid-19 včetně multisystémového zánětlivého syndromu (U07, U10);2016;
Zemřelí;Aš;Covid-19 včetně multisystémového zánětlivého syndromu (U07, U10);2015;
Zemřelí;Aš;Covid-19 včetně multisystémového zánětlivého syndromu (U07, U10);2014;
Zemřelí;Aš;Covid-19 včetně multisystémového zánětlivého syndromu (U07, U10);2013;
Zemřelí;Aš;Covid-19 včetně multisystémového zánětlivého syndromu (U07, U10);2012;
Zemřelí;Aš;XX. Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2024;
Zemřelí;Aš;XX. Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2023;9.0
Zemřelí;Aš;XX. Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2022;7.0
Zemřelí;Aš;XX. Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2021;8.0
Zemřelí;Aš;XX. Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2020;8.0
Zemřelí;Aš;XX. Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2019;7.0
Zemřelí;Aš;XX. Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2018;10.0
Zemřelí;Aš;XX. Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2017;9.0
Zemřelí;Aš;XX. Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2016;11.0
Zemřelí;Aš;XX. Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2015;13.0
Zemřelí;Aš;XX. Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2014;8.0
Zemřelí;Aš;XX. Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2013;10.0
Zemřelí;Aš;XX. Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2012;8.0
