Roky,"ČR, kraje",Ukazatel,Pohlaví,value
2024,Kraj Vysočina,Průměrný věk (roky),Celkem,43.53763955
2024,Kraj Vysočina,Průměrný věk (roky),Muži,42.19922555
2024,Kraj Vysočina,Průměrný věk (roky),Ženy,44.85953093
2024,Kraj Vysočina,Věkový medián (roky),Celkem,44.9969475
2024,Kraj Vysočina,Věkový medián (roky),Muži,43.58547486
2024,Kraj Vysočina,Věkový medián (roky),Ženy,46.4018374
2024,Jihomoravský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Celkem,15.8690455
2024,Jihomoravský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Muži,16.59145715
2024,Jihomoravský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Ženy,15.17460003
2024,Jihomoravský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Celkem,63.49814494
2024,Jihomoravský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Muži,65.77416566
2024,Jihomoravský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Ženy,61.31023414
2024,Jihomoravský kraj,Podíl obyvatel ve věku 65 a více let (%),Celkem,20.63280956
2024,Jihomoravský kraj,Podíl obyvatel ve věku 65 a více let (%),Muži,17.63437719
2024,Jihomoravský kraj,Podíl obyvatel ve věku 65 a více let (%),Ženy,23.51516583
2024,Jihomoravský kraj,Průměrný věk (roky),Celkem,42.92719322
2024,Jihomoravský kraj,Průměrný věk (roky),Muži,41.42733582
2024,Jihomoravský kraj,Průměrný věk (roky),Ženy,44.36898775
2024,Jihomoravský kraj,Věkový medián (roky),Celkem,43.87486712
2024,Jihomoravský kraj,Věkový medián (roky),Muži,42.43150536
2024,Jihomoravský kraj,Věkový medián (roky),Ženy,45.280182
2024,Olomoucký kraj,Podíl obyvatel ve věku 0 - 14 let (%),Celkem,15.19081552
2024,Olomoucký kraj,Podíl obyvatel ve věku 0 - 14 let (%),Muži,15.85641065
2024,Olomoucký kraj,Podíl obyvatel ve věku 0 - 14 let (%),Ženy,14.55367631
2024,Olomoucký kraj,Podíl obyvatel ve věku 15 - 64 let (%),Celkem,62.78163104
2024,Olomoucký kraj,Podíl obyvatel ve věku 15 - 64 let (%),Muži,65.31068178
2024,Olomoucký kraj,Podíl obyvatel ve věku 15 - 64 let (%),Ženy,60.3607038
2024,Olomoucký kraj,Podíl obyvatel ve věku 65 a více let (%),Celkem,22.02755344
2024,Olomoucký kraj,Podíl obyvatel ve věku 65 a více let (%),Muži,18.83290756
2024,Olomoucký kraj,Podíl obyvatel ve věku 65 a více let (%),Ženy,25.08561989
2024,Olomoucký kraj,Průměrný věk (roky),Celkem,43.81271576
2024,Olomoucký kraj,Průměrný věk (roky),Muži,42.27435544
2024,Olomoucký kraj,Průměrný věk (roky),Ženy,45.28530716
2024,Olomoucký kraj,Věkový medián (roky),Celkem,45.42343071
2024,Olomoucký kraj,Věkový medián (roky),Muži,43.93776824
2024,Olomoucký kraj,Věkový medián (roky),Ženy,46.88850484
2024,Zlínský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Celkem,14.87984414
2024,Zlínský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Muži,15.56866417
2024,Zlínský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Ženy,14.21614509
2024,Zlínský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Celkem,62.78225486
2024,Zlínský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Muži,65.51762975
2024,Zlínský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Ženy,60.14663791
2024,Zlínský kraj,Podíl obyvatel ve věku 65 a více let (%),Celkem,22.33790099
2024,Zlínský kraj,Podíl obyvatel ve věku 65 a více let (%),Muži,18.91370608
2024,Zlínský kraj,Podíl obyvatel ve věku 65 a více let (%),Ženy,25.637217
2024,Zlínský kraj,Průměrný věk (roky),Celkem,44.15967758
2024,Zlínský kraj,Průměrný věk (roky),Muži,42.47989948
2024,Zlínský kraj,Průměrný věk (roky),Ženy,45.7781949
2024,Zlínský kraj,Věkový medián (roky),Celkem,45.80459145
2024,Zlínský kraj,Věkový medián (roky),Muži,44.11319428
2024,Zlínský kraj,Věkový medián (roky),Ženy,47.48347716
2024,Moravskoslezský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Celkem,14.7371118
2024,Moravskoslezský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Muži,15.4328592
2024,Moravskoslezský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Ženy,14.06840512
2024,Moravskoslezský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Celkem,63.69353288
2024,Moravskoslezský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Muži,66.46566181
2024,Moravskoslezský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Ženy,61.02914473
2024,Moravskoslezský kraj,Podíl obyvatel ve věku 65 a více let (%),Celkem,21.56935532
2024,Moravskoslezský kraj,Podíl obyvatel ve věku 65 a více let (%),Muži,18.10147898
2024,Moravskoslezský kraj,Podíl obyvatel ve věku 65 a více let (%),Ženy,24.90245015
2024,Moravskoslezský kraj,Průměrný věk (roky),Celkem,43.86316445
2024,Moravskoslezský kraj,Průměrný věk (roky),Muži,42.21233359
2024,Moravskoslezský kraj,Průměrný věk (roky),Ženy,45.44983458
2024,Moravskoslezský kraj,Věkový medián (roky),Celkem,45.46038761
2024,Moravskoslezský kraj,Věkový medián (roky),Muži,43.67821535
2024,Moravskoslezský kraj,Věkový medián (roky),Ženy,47.17601931
