Roky;Ukazatel;Území;Druh soc. dávek;value
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Karlovarský kraj;"Peněžitá pomoc v mateřství (tzv. ""mateřská"")";128001.93
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Karlovarský kraj;Vyrovnávací příspěvek v těhotenství a mateřství;129.4
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Karlovarský kraj;Dávka otcovské poporodní péče;5174.865
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Karlovarský kraj;Dlouhodobé ošetřovné;3233.508
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Ústecký kraj;Výdaje celkem;2738443.6722
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Ústecký kraj;Nemocenské;2095680.51704
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Ústecký kraj;"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")";159239.922
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Ústecký kraj;"Peněžitá pomoc v mateřství (tzv. ""mateřská"")";450964.12716
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Ústecký kraj;Vyrovnávací příspěvek v těhotenství a mateřství;410.066
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Ústecký kraj;Dávka otcovské poporodní péče;22200.163
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Ústecký kraj;Dlouhodobé ošetřovné;9948.877
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Liberecký kraj;Výdaje celkem;1551273.50038
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Liberecký kraj;Nemocenské;1139365.04548
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Liberecký kraj;"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")";93893.14
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Liberecký kraj;"Peněžitá pomoc v mateřství (tzv. ""mateřská"")";292697.8339
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Liberecký kraj;Vyrovnávací příspěvek v těhotenství a mateřství;255.081
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Liberecký kraj;Dávka otcovské poporodní péče;17645.354
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Liberecký kraj;Dlouhodobé ošetřovné;7417.046
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Královéhradecký kraj;Výdaje celkem;2197966.31701
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Královéhradecký kraj;Nemocenské;1575981.34037
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Královéhradecký kraj;"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")";144106.316
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Královéhradecký kraj;"Peněžitá pomoc v mateřství (tzv. ""mateřská"")";437813.61464
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Královéhradecký kraj;Vyrovnávací příspěvek v těhotenství a mateřství;149.964
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Královéhradecký kraj;Dávka otcovské poporodní péče;28225.712
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Královéhradecký kraj;Dlouhodobé ošetřovné;11689.37
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Pardubický kraj;Výdaje celkem;2035190.14448
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Pardubický kraj;Nemocenské;1489085.93348
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Pardubický kraj;"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")";118091.672
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Pardubický kraj;"Peněžitá pomoc v mateřství (tzv. ""mateřská"")";390461.465
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Pardubický kraj;Vyrovnávací příspěvek v těhotenství a mateřství;239.759
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Pardubický kraj;Dávka otcovské poporodní péče;26799.273
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Pardubický kraj;Dlouhodobé ošetřovné;10512.042
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Kraj Vysočina;Výdaje celkem;1852310.62958
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Kraj Vysočina;Nemocenské;1357113.58958
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Kraj Vysočina;"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")";101275.337
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Kraj Vysočina;"Peněžitá pomoc v mateřství (tzv. ""mateřská"")";352951.402
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Kraj Vysočina;Vyrovnávací příspěvek v těhotenství a mateřství;448.024
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Kraj Vysočina;Dávka otcovské poporodní péče;25325.25
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Kraj Vysočina;Dlouhodobé ošetřovné;15197.027
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Jihomoravský kraj;Výdaje celkem;5082091.65917
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Jihomoravský kraj;Nemocenské;3444653.86017
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Jihomoravský kraj;"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")";264277.169
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Jihomoravský kraj;"Peněžitá pomoc v mateřství (tzv. ""mateřská"")";1271289.54
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Jihomoravský kraj;Vyrovnávací příspěvek v těhotenství a mateřství;517.052
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Jihomoravský kraj;Dávka otcovské poporodní péče;71397.092
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Jihomoravský kraj;Dlouhodobé ošetřovné;29956.946
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Olomoucký kraj;Výdaje celkem;2391762.62858
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Olomoucký kraj;Nemocenské;1786847.94272
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Olomoucký kraj;"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")";141353.359
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Olomoucký kraj;"Peněžitá pomoc v mateřství (tzv. ""mateřská"")";423841.28286
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Olomoucký kraj;Vyrovnávací příspěvek v těhotenství a mateřství;396.292
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Olomoucký kraj;Dávka otcovské poporodní péče;27898.199
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Olomoucký kraj;Dlouhodobé ošetřovné;11425.553
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Zlínský kraj;Výdaje celkem;2645787.40457
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Zlínský kraj;Nemocenské;2001898.95457
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Zlínský kraj;"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")";151204.853
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Zlínský kraj;"Peněžitá pomoc v mateřství (tzv. ""mateřská"")";440226.631
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Zlínský kraj;Vyrovnávací příspěvek v těhotenství a mateřství;186.143
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Zlínský kraj;Dávka otcovské poporodní péče;32014.092
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Zlínský kraj;Dlouhodobé ošetřovné;20256.731
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Moravskoslezský kraj;Výdaje celkem;5536198.98208
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Moravskoslezský kraj;Nemocenské;4301831.06033
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Moravskoslezský kraj;"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")";274634.53645
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Moravskoslezský kraj;"Peněžitá pomoc v mateřství (tzv. ""mateřská"")";871724.7373
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Moravskoslezský kraj;Vyrovnávací příspěvek v těhotenství a mateřství;1131.876
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Moravskoslezský kraj;Dávka otcovské poporodní péče;62012.771
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Moravskoslezský kraj;Dlouhodobé ošetřovné;24864.001
