Území;Ukazatel;Odvětví ekonomické činnosti;Roky;value
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2014;29.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2015;29.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2016;29.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2017;31.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2018;33.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2019;34.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2020;34.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2021;34.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2022;34.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2010;49.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2011;50.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2012;50.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2013;50.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2014;50.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2015;50.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2016;51.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2017;51.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2018;52.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2019;51.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2020;51.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2021;51.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";2022;52.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);F - Stavebnictví;2010;255.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);F - Stavebnictví;2011;239.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);F - Stavebnictví;2012;233.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);F - Stavebnictví;2013;218.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);F - Stavebnictví;2014;210.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);F - Stavebnictví;2015;209.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);F - Stavebnictví;2016;207.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);F - Stavebnictví;2017;206.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);F - Stavebnictví;2018;207.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);F - Stavebnictví;2019;209.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);F - Stavebnictví;2020;209.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);F - Stavebnictví;2021;214.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);F - Stavebnictví;2022;214.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2010;489.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2011;485.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2012;488.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2013;484.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2014;479.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2015;483.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2016;484.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2017;491.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2018;502.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2019;503.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2020;496.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2021;498.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2022;506.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);H - Doprava a skladování;2010;251.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);H - Doprava a skladování;2011;248.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);H - Doprava a skladování;2012;246.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);H - Doprava a skladování;2013;241.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);H - Doprava a skladování;2014;242.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);H - Doprava a skladování;2015;250.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);H - Doprava a skladování;2016;257.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);H - Doprava a skladování;2017;264.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);H - Doprava a skladování;2018;269.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);H - Doprava a skladování;2019;269.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);H - Doprava a skladování;2020;262.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);H - Doprava a skladování;2021;260.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);H - Doprava a skladování;2022;259.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);I - Ubytování, stravování a pohostinství;2010;113.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);I - Ubytování, stravování a pohostinství;2011;113.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);I - Ubytování, stravování a pohostinství;2012;115.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);I - Ubytování, stravování a pohostinství;2013;109.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);I - Ubytování, stravování a pohostinství;2014;109.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);I - Ubytování, stravování a pohostinství;2015;112.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);I - Ubytování, stravování a pohostinství;2016;115.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);I - Ubytování, stravování a pohostinství;2017;121.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);I - Ubytování, stravování a pohostinství;2018;121.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);I - Ubytování, stravování a pohostinství;2019;123.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);I - Ubytování, stravování a pohostinství;2020;109.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);I - Ubytování, stravování a pohostinství;2021;104.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);I - Ubytování, stravování a pohostinství;2022;106.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);J - Informační a komunikační činnosti;2010;95.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);J - Informační a komunikační činnosti;2011;94.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);J - Informační a komunikační činnosti;2012;96.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);J - Informační a komunikační činnosti;2013;97.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);J - Informační a komunikační činnosti;2014;99.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);J - Informační a komunikační činnosti;2015;102.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);J - Informační a komunikační činnosti;2016;108.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);J - Informační a komunikační činnosti;2017;114.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);J - Informační a komunikační činnosti;2018;119.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);J - Informační a komunikační činnosti;2019;125.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);J - Informační a komunikační činnosti;2020;126.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);J - Informační a komunikační činnosti;2021;129.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);J - Informační a komunikační činnosti;2022;134.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);K - Peněžnictví a pojišťovnictví;2010;70.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);K - Peněžnictví a pojišťovnictví;2011;70.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);K - Peněžnictví a pojišťovnictví;2012;72.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);K - Peněžnictví a pojišťovnictví;2013;72.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);K - Peněžnictví a pojišťovnictví;2014;72.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);K - Peněžnictví a pojišťovnictví;2015;71.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);K - Peněžnictví a pojišťovnictví;2016;72.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);K - Peněžnictví a pojišťovnictví;2017;74.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);K - Peněžnictví a pojišťovnictví;2018;74.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);K - Peněžnictví a pojišťovnictví;2019;74.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);K - Peněžnictví a pojišťovnictví;2020;72.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);K - Peněžnictví a pojišťovnictví;2021;72.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);K - Peněžnictví a pojišťovnictví;2022;71.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);L - Činnosti v oblasti nemovitostí;2010;42.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);L - Činnosti v oblasti nemovitostí;2011;41.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);L - Činnosti v oblasti nemovitostí;2012;46.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);L - Činnosti v oblasti nemovitostí;2013;50.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);L - Činnosti v oblasti nemovitostí;2014;50.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);L - Činnosti v oblasti nemovitostí;2015;47.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);L - Činnosti v oblasti nemovitostí;2016;46.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);L - Činnosti v oblasti nemovitostí;2017;46.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);L - Činnosti v oblasti nemovitostí;2018;47.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);L - Činnosti v oblasti nemovitostí;2019;45.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);L - Činnosti v oblasti nemovitostí;2020;46.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);L - Činnosti v oblasti nemovitostí;2021;47.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);L - Činnosti v oblasti nemovitostí;2022;47.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);M - Profesní, vědecké a technické činnosti;2010;148.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);M - Profesní, vědecké a technické činnosti;2011;147.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);M - Profesní, vědecké a technické činnosti;2012;151.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);M - Profesní, vědecké a technické činnosti;2013;152.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);M - Profesní, vědecké a technické činnosti;2014;156.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);M - Profesní, vědecké a technické činnosti;2015;161.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);M - Profesní, vědecké a technické činnosti;2016;167.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);M - Profesní, vědecké a technické činnosti;2017;172.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);M - Profesní, vědecké a technické činnosti;2018;177.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);M - Profesní, vědecké a technické činnosti;2019;173.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);M - Profesní, vědecké a technické činnosti;2020;169.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);M - Profesní, vědecké a technické činnosti;2021;169.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);M - Profesní, vědecké a technické činnosti;2022;172.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);N - Administrativní a podpůrné činnosti;2010;140.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);N - Administrativní a podpůrné činnosti;2011;148.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);N - Administrativní a podpůrné činnosti;2012;151.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);N - Administrativní a podpůrné činnosti;2013;157.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);N - Administrativní a podpůrné činnosti;2014;168.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);N - Administrativní a podpůrné činnosti;2015;181.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);N - Administrativní a podpůrné činnosti;2016;191.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);N - Administrativní a podpůrné činnosti;2017;201.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);N - Administrativní a podpůrné činnosti;2018;203.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);N - Administrativní a podpůrné činnosti;2019;199.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);N - Administrativní a podpůrné činnosti;2020;181.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);N - Administrativní a podpůrné činnosti;2021;182.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);N - Administrativní a podpůrné činnosti;2022;182.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"O - Veřejná správa a obrana; povinné sociální zabezpečení";2010;290.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"O - Veřejná správa a obrana; povinné sociální zabezpečení";2011;279.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"O - Veřejná správa a obrana; povinné sociální zabezpečení";2012;274.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"O - Veřejná správa a obrana; povinné sociální zabezpečení";2013;279.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"O - Veřejná správa a obrana; povinné sociální zabezpečení";2014;283.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"O - Veřejná správa a obrana; povinné sociální zabezpečení";2015;288.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"O - Veřejná správa a obrana; povinné sociální zabezpečení";2016;290.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"O - Veřejná správa a obrana; povinné sociální zabezpečení";2017;292.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"O - Veřejná správa a obrana; povinné sociální zabezpečení";2018;296.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"O - Veřejná správa a obrana; povinné sociální zabezpečení";2019;297.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"O - Veřejná správa a obrana; povinné sociální zabezpečení";2020;297.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"O - Veřejná správa a obrana; povinné sociální zabezpečení";2021;299.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);"O - Veřejná správa a obrana; povinné sociální zabezpečení";2022;296.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);P - Vzdělávání;2010;266.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);P - Vzdělávání;2011;271.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);P - Vzdělávání;2012;268.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);P - Vzdělávání;2013;271.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);P - Vzdělávání;2014;275.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);P - Vzdělávání;2015;276.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);P - Vzdělávání;2016;277.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);P - Vzdělávání;2017;285.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);P - Vzdělávání;2018;291.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);P - Vzdělávání;2019;299.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);P - Vzdělávání;2020;310.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);P - Vzdělávání;2021;316.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);P - Vzdělávání;2022;327.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q - Zdravotní a sociální péče;2010;268.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q - Zdravotní a sociální péče;2011;267.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q - Zdravotní a sociální péče;2012;269.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q - Zdravotní a sociální péče;2013;272.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q - Zdravotní a sociální péče;2014;277.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q - Zdravotní a sociální péče;2015;283.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q - Zdravotní a sociální péče;2016;290.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q - Zdravotní a sociální péče;2017;295.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q - Zdravotní a sociální péče;2018;301.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q - Zdravotní a sociální péče;2019;304.1
