Ukazatel;Území;Typ domácnosti;Roky;value
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2021;15.3
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2022;16.8
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2023;15.1
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2024;11.8
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2013;16.4473
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2014;17.88268
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2015;21.52044
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2016;23.3
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2017;29.3
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2018;34.3
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2019;36.95
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2020;33.483
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2021;26.6
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2022;34.1
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2023;29.2
Podíl osob pod hranicí příjmové chudoby;Česko;Ženy;2024;18.5
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci do 65 let;2013;16.50212
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci do 65 let;2014;16.23841
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci do 65 let;2015;20.1515
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci do 65 let;2016;20.1
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci do 65 let;2017;20.2
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci do 65 let;2018;18.5
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci do 65 let;2019;17.06
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci do 65 let;2020;15.896
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci do 65 let;2021;15.9
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci do 65 let;2022;15.4
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci do 65 let;2023;13.1
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci do 65 let;2024;12.8
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci 65 a více let;2013;12.76991
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci 65 a více let;2014;14.48012
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci 65 a více let;2015;17.81649
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci 65 a více let;2016;20.2
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci 65 a více let;2017;28.3
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci 65 a více let;2018;36.9
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci 65 a více let;2019;41.196
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci 65 a více let;2020;37.376
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci 65 a více let;2021;27.8
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci 65 a více let;2022;37.8
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci 65 a více let;2023;33.2
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci 65 a více let;2024;18.6
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, alespoň jeden 65 a více let;2013;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, alespoň jeden 65 a více let;2014;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, alespoň jeden 65 a více let;2015;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, alespoň jeden 65 a více let;2016;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, alespoň jeden 65 a více let;2017;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, alespoň jeden 65 a více let;2018;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, alespoň jeden 65 a více let;2019;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, alespoň jeden 65 a více let;2020;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, alespoň jeden 65 a více let;2021;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, alespoň jeden 65 a více let;2022;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, alespoň jeden 65 a více let;2023;4.9
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, alespoň jeden 65 a více let;2024;3.1
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, oba do 65 let;2013;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, oba do 65 let;2014;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, oba do 65 let;2015;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, oba do 65 let;2016;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, oba do 65 let;2017;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, oba do 65 let;2018;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, oba do 65 let;2019;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, oba do 65 let;2020;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, oba do 65 let;2021;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, oba do 65 let;2022;
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, oba do 65 let;2023;3.2
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, oba do 65 let;2024;3.5
