Kraje, SO ORP;Ukazatel;Počet zaměstnanců;Roky;value
Hlavní město Praha;Počet ekonomických subjektů celkem;200 - 249;2013;154
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;2024;504
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;2023;383
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;2022;381
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;2021;371
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;2020;345
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;2019;377
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;2018;372
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;2017;359
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;2016;351
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;2015;343
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;2014;341
Hlavní město Praha;Počet ekonomických subjektů celkem;250 - 499;2013;334
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;2024;236
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;2023;198
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;2022;190
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;2021;180
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;2020;177
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;2019;188
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;2018;189
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;2017;185
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;2016;173
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;2015;164
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;2014;153
Hlavní město Praha;Počet ekonomických subjektů celkem;500 - 999;2013;145
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;2024;84
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;2023;61
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;2022;67
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;2021;68
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;2020;66
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;2019;59
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;2018;63
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;2017;65
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;2016;67
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;2015;58
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;2014;57
Hlavní město Praha;Počet ekonomických subjektů celkem;1000 - 1499;2013;53
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;2024;37
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;2023;39
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;2022;36
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;2021;32
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;2020;30
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;2019;38
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;2018;34
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;2017;36
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;2016;30
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;2015;21
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;2014;26
Hlavní město Praha;Počet ekonomických subjektů celkem;1500 - 1999;2013;27
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;2024;28
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;2023;15
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;2022;16
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;2021;13
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;2020;13
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;2019;16
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;2018;18
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;2017;20
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;2016;13
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;2015;18
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;2014;14
Hlavní město Praha;Počet ekonomických subjektů celkem;2000 - 2499;2013;9
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;2024;12
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;2023;10
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;2022;8
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;2021;10
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;2020;10
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;2019;8
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;2018;8
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;2017;8
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;2016;12
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;2015;8
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;2014;7
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;2013;7
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;2024;16
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;2023;10
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;2022;13
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;2021;12
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;2020;12
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;2019;12
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;2018;11
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;2017;9
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;2016;10
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;2015;12
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;2014;12
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;2013;13
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;2024;8
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;2023;8
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;2022;7
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;2021;6
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;2020;6
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;2019;6
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;2018;7
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;2017;9
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;2016;6
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;2015;7
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;2014;8
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;2013;9
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;2024;17
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;2023;16
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;2022;15
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;2021;17
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;2020;16
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;2019;17
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;2018;15
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;2017;15
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;2016;17
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;2015;17
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;2014;18
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;2013;16
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;2024;14
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;2023;14
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;2022;12
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;2021;14
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;2020;14
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;2019;12
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;2018;17
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;2017;14
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;2016;12
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;2015;13
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;2014;12
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;2013;12
