Ukazatel;ČR a kraje;Klasifikace zaměstnání (CZISCO);Roky;value
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;1993;735.60881543915
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;1994;760.768524948279
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;1995;763.810021657976
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;1996;769.293124619865
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;1997;771.503227234246
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;1998;754.798730913171
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;1999;752.915343919734
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2000;759.198540746508
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2001;773.695767546639
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2002;774.121207541711
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2003;797.266962505969
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2004;817.130864230969
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2005;859.39310890381
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2006;878.706460534151
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2007;911.707818412422
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2008;939.085184129269
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2009;958.486825500168
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2010;1208.09311440067
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2011;940.757245384999
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2012;897.06611424
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2013;879.3186185175
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2014;880.262372565
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2015;856.686996760001
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2016;884.28062815
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2017;930.095873575
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2018;914.984045775
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2019;909.026232675
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2020;916.65195625
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2021;877.6101784
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2022;848.745367575
Zaměstnaní (tis. osob);Česko;Techničtí a odborní pracovníci;2023;823.66306105
Zaměstnaní (tis. osob);Česko;Úředníci;1993;385.876486876852
Zaměstnaní (tis. osob);Česko;Úředníci;1994;403.8149595858
Zaměstnaní (tis. osob);Česko;Úředníci;1995;409.920479618603
Zaměstnaní (tis. osob);Česko;Úředníci;1996;418.567366033092
Zaměstnaní (tis. osob);Česko;Úředníci;1997;425.228673217297
Zaměstnaní (tis. osob);Česko;Úředníci;1998;421.056730356197
Zaměstnaní (tis. osob);Česko;Úředníci;1999;402.649638397041
Zaměstnaní (tis. osob);Česko;Úředníci;2000;398.225955989175
Zaměstnaní (tis. osob);Česko;Úředníci;2001;410.86813347548
Zaměstnaní (tis. osob);Česko;Úředníci;2002;425.551324669785
Zaměstnaní (tis. osob);Česko;Úředníci;2003;415.058087229132
Zaměstnaní (tis. osob);Česko;Úředníci;2004;415.257582207319
Zaměstnaní (tis. osob);Česko;Úředníci;2005;418.419365606119
Zaměstnaní (tis. osob);Česko;Úředníci;2006;414.103710097971
Zaměstnaní (tis. osob);Česko;Úředníci;2007;427.616242441574
Zaměstnaní (tis. osob);Česko;Úředníci;2008;442.906966800902
Zaměstnaní (tis. osob);Česko;Úředníci;2009;453.091941481351
Zaměstnaní (tis. osob);Česko;Úředníci;2010;384.67159790025
Zaměstnaní (tis. osob);Česko;Úředníci;2011;458.239792464999
Zaměstnaní (tis. osob);Česko;Úředníci;2012;454.805286645
Zaměstnaní (tis. osob);Česko;Úředníci;2013;475.7969524175
Zaměstnaní (tis. osob);Česko;Úředníci;2014;465.537594165
Zaměstnaní (tis. osob);Česko;Úředníci;2015;464.47569744
Zaměstnaní (tis. osob);Česko;Úředníci;2016;476.316134125
Zaměstnaní (tis. osob);Česko;Úředníci;2017;509.32560365
Zaměstnaní (tis. osob);Česko;Úředníci;2018;498.914975425
Zaměstnaní (tis. osob);Česko;Úředníci;2019;501.078032425
Zaměstnaní (tis. osob);Česko;Úředníci;2020;479.138819325
Zaměstnaní (tis. osob);Česko;Úředníci;2021;480.83301035
Zaměstnaní (tis. osob);Česko;Úředníci;2022;459.89321135
Zaměstnaní (tis. osob);Česko;Úředníci;2023;398.58761876
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;1993;653.281343587299
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;1994;691.194019598427
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;1995;704.702118372224
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;1996;720.940071017102
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;1997;734.774033058632
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;1998;742.946109468361
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;1999;722.188905642984
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2000;713.23152489146
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2001;720.030214400445
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2002;741.830478728291
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2003;734.512651246692
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2004;717.402965459941
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2005;715.760011780641
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2006;723.655762186973
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2007;717.179518720248
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2008;721.841371670296
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2009;731.295052153318
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2010;605.4094889183
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2011;743.058369575
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2012;743.357891975
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2013;746.3357643425
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2014;752.7090717475
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2015;774.640108615
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2016;782.984456575
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2017;785.539301349999
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2018;822.747311525
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2019;816.38603765
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2020;784.901590025
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2021;757.4614006
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2022;790.4563999
Zaměstnaní (tis. osob);Česko;Pracovníci ve službách a prodeji;2023;767.66426193
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;1993;126.694429510609
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;1994;122.14933497612
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;1995;120.921662343881
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;1996;113.961766704272
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;1997;105.088011096351
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;1998;99.5619552512567
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;1999;92.1660762873843
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2000;91.0257691033504
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2001;86.5668178910906
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2002;87.0901842207477
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2003;83.5011943234011
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2004;77.4754823386442
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2005;73.5232217654551
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2006;72.540964535475
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2007;71.1484460488191
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2008;66.0139363269959
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2009;60.2421308488854
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2010;66.797838879775
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2011;66.3575012375
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2012;66.768915915
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2013;64.419005145
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2014;59.93764406
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2015;61.98912386
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2016;69.84625185
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2017;68.7822114
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2018;66.32574925
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2019;66.3027734
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2020;61.906059075
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2021;59.52514435
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2022;56.292466625
Zaměstnaní (tis. osob);Česko;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;2023;64.748007912
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;1993;1098.18010288968
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;1994;1085.28014795529
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;1995;1061.80198999768
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;1996;1040.11220715217
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;1997;1027.45734206537
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;1998;1012.54143417924
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;1999;982.113050631301
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2000;957.781093711611
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2001;933.22063827499
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2002;934.626352033898
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2003;927.478551506112
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2004;911.379309655041
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2005;901.801301676288
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2006;896.920988051136
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2007;929.536120229032
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2008;951.735155051209
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2009;889.445658791849
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2010;849.139616135774
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2011;863.5224833375
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2012;856.0620061775
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2013;850.9904880075
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2014;873.206187649999
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2015;866.2467807975
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2016;868.40575645
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2017;864.976641475
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2018;864.840072375
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2019;849.384904225
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2020;835.779826975
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2021;797.65195155
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2022;801.999155025
Zaměstnaní (tis. osob);Česko;Řemeslníci a opraváři;2023;802.3889494
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;1993;720.752820070273
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;1994;720.076904886974
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;1995;705.747049450955
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;1996;703.033444983027
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;1997;688.370727091586
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;1998;676.841811478252
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;1999;664.110321853779
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2000;657.989626817287
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2001;663.816769794357
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2002;672.387260269116
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2003;666.614941866238
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2004;668.562619635468
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2005;684.653306746213
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2006;711.879155332211
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2007;709.355660820415
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2008;704.613754092624
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2009;680.152309241434
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2010;669.06967517915
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2011;673.257896775
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2012;666.219746445
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2013;641.675238845
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2014;652.156797402499
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2015;684.232876995
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2016;701.556563075
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2017;715.7455442
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2018;726.97838855
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2019;728.402194575
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2020;703.5471858
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2021;693.0557515
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2022;688.38474545
Zaměstnaní (tis. osob);Česko;Obsluha strojů a zařízení, montéři;2023;655.5957866
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;1993;390.460790700821
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;1994;372.400914957304
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;1995;370.99078798724
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;1996;362.460032557638
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;1997;342.366549675095
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;1998;332.826020177676
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;1999;315.634642065867
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2000;315.745979501701
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2001;301.009471038053
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2002;298.020628502871
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2003;293.303840372582
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2004;283.221857246092
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2005;280.695838735712
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2006;284.828164268945
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2007;280.977467955915
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2008;283.655393060622
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2009;267.15971496888
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2010;306.698211834825
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2011;263.409991615
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2012;260.908327445
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2013;274.840022915
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2014;270.1285435875
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2015;280.5361488075
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2016;284.31638145
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2017;276.72902065
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2018;287.09425335
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2019;323.36691975
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2020;316.68610275
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2021;293.840859125
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2022;288.136020175
Zaměstnaní (tis. osob);Česko;Pomocní a nekvalifikovaní pracovníci;2023;270.62557848
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;1993;71.1801282103445
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;1994;63.957697291361
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;1995;54.6690822270329
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;1996;57.5028951340176
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;1997;52.193921009045
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;1998;48.0621997874074
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;1999;55.2550491292378
