Ukazatel;Území;Pohlaví;Roky;Věkové skupiny (pětileté);Rodinný stav;value
Počet obyvatel k 31. 12.;Česko;Celkem;2024;50 - 54;Ženatí, vdané;478837
Počet obyvatel k 31. 12.;Česko;Celkem;2024;50 - 54;Rozvedení, rozvedené;209982
Počet obyvatel k 31. 12.;Česko;Celkem;2024;50 - 54;Ovdovělí, ovdovělé;15650
Počet obyvatel k 31. 12.;Česko;Celkem;2024;55 - 59;Celkem;677244
Počet obyvatel k 31. 12.;Česko;Celkem;2024;55 - 59;Svobodní, svobodné;69092
Počet obyvatel k 31. 12.;Česko;Celkem;2024;55 - 59;Ženatí, vdané;396538
Počet obyvatel k 31. 12.;Česko;Celkem;2024;55 - 59;Rozvedení, rozvedené;187458
Počet obyvatel k 31. 12.;Česko;Celkem;2024;55 - 59;Ovdovělí, ovdovělé;24156
Počet obyvatel k 31. 12.;Česko;Celkem;2024;60 - 64;Celkem;634303
Počet obyvatel k 31. 12.;Česko;Celkem;2024;60 - 64;Svobodní, svobodné;46724
Počet obyvatel k 31. 12.;Česko;Celkem;2024;60 - 64;Ženatí, vdané;386874
Počet obyvatel k 31. 12.;Česko;Celkem;2024;60 - 64;Rozvedení, rozvedené;160501
Počet obyvatel k 31. 12.;Česko;Celkem;2024;60 - 64;Ovdovělí, ovdovělé;40204
Počet obyvatel k 31. 12.;Česko;Celkem;2024;65 - 69;Celkem;613533
Počet obyvatel k 31. 12.;Česko;Celkem;2024;65 - 69;Svobodní, svobodné;33181
Počet obyvatel k 31. 12.;Česko;Celkem;2024;65 - 69;Ženatí, vdané;379181
Počet obyvatel k 31. 12.;Česko;Celkem;2024;65 - 69;Rozvedení, rozvedené;129916
Počet obyvatel k 31. 12.;Česko;Celkem;2024;65 - 69;Ovdovělí, ovdovělé;71255
Počet obyvatel k 31. 12.;Česko;Celkem;2024;70 - 74;Celkem;613427
Počet obyvatel k 31. 12.;Česko;Celkem;2024;70 - 74;Svobodní, svobodné;23692
Počet obyvatel k 31. 12.;Česko;Celkem;2024;70 - 74;Ženatí, vdané;362149
Počet obyvatel k 31. 12.;Česko;Celkem;2024;70 - 74;Rozvedení, rozvedené;107801
Počet obyvatel k 31. 12.;Česko;Celkem;2024;70 - 74;Ovdovělí, ovdovělé;119785
Počet obyvatel k 31. 12.;Česko;Celkem;2024;75 - 79;Celkem;509125
Počet obyvatel k 31. 12.;Česko;Celkem;2024;75 - 79;Svobodní, svobodné;14594
Počet obyvatel k 31. 12.;Česko;Celkem;2024;75 - 79;Ženatí, vdané;267829
Počet obyvatel k 31. 12.;Česko;Celkem;2024;75 - 79;Rozvedení, rozvedené;70490
Počet obyvatel k 31. 12.;Česko;Celkem;2024;75 - 79;Ovdovělí, ovdovělé;156212
Počet obyvatel k 31. 12.;Česko;Celkem;2024;80 - 84;Celkem;307862
Počet obyvatel k 31. 12.;Česko;Celkem;2024;80 - 84;Svobodní, svobodné;6789
Počet obyvatel k 31. 12.;Česko;Celkem;2024;80 - 84;Ženatí, vdané;127430
Počet obyvatel k 31. 12.;Česko;Celkem;2024;80 - 84;Rozvedení, rozvedené;32504
Počet obyvatel k 31. 12.;Česko;Celkem;2024;80 - 84;Ovdovělí, ovdovělé;141139
Počet obyvatel k 31. 12.;Česko;Celkem;2024;85 - 89;Celkem;142940
Počet obyvatel k 31. 12.;Česko;Celkem;2024;85 - 89;Svobodní, svobodné;2597
Počet obyvatel k 31. 12.;Česko;Celkem;2024;85 - 89;Ženatí, vdané;39499
Počet obyvatel k 31. 12.;Česko;Celkem;2024;85 - 89;Rozvedení, rozvedené;11141
Počet obyvatel k 31. 12.;Česko;Celkem;2024;85 - 89;Ovdovělí, ovdovělé;89703
Počet obyvatel k 31. 12.;Česko;Celkem;2024;90 - 94;Celkem;56931
Počet obyvatel k 31. 12.;Česko;Celkem;2024;90 - 94;Svobodní, svobodné;874
Počet obyvatel k 31. 12.;Česko;Celkem;2024;90 - 94;Ženatí, vdané;8945
Počet obyvatel k 31. 12.;Česko;Celkem;2024;90 - 94;Rozvedení, rozvedené;3866
Počet obyvatel k 31. 12.;Česko;Celkem;2024;90 - 94;Ovdovělí, ovdovělé;43246
Počet obyvatel k 31. 12.;Česko;Celkem;2024;95 a více;Celkem;12069
Počet obyvatel k 31. 12.;Česko;Celkem;2024;95 a více;Svobodní, svobodné;275
Počet obyvatel k 31. 12.;Česko;Celkem;2024;95 a více;Ženatí, vdané;799
Počet obyvatel k 31. 12.;Česko;Celkem;2024;95 a více;Rozvedení, rozvedené;744
Počet obyvatel k 31. 12.;Česko;Celkem;2024;95 a více;Ovdovělí, ovdovělé;10251
