Ukazatel,Rok sčítání,Území,Typ domácnosti,value
Počet domácností tvořených jednou rodinou,2021,Liberecký kraj,Faktická manželství,22690
Počet domácností tvořených jednou rodinou,2021,Liberecký kraj,Registrovaná partnerství,68
Počet domácností tvořených jednou rodinou,2021,Liberecký kraj,Faktická partnerství,189
Počet domácností tvořených jednou rodinou,2021,Liberecký kraj,Neúplné rodiny celkem,21864
Počet domácností tvořených jednou rodinou,2021,Liberecký kraj,Osamělý otec,3323
Počet domácností tvořených jednou rodinou,2021,Liberecký kraj,Osamělá matka,18541
Počet domácností tvořených jednou rodinou,2021,Královéhradecký kraj,Domácnosti tvořené jednou rodinou,144387
Počet domácností tvořených jednou rodinou,2021,Královéhradecký kraj,Úplné rodiny celkem,119158
Počet domácností tvořených jednou rodinou,2021,Královéhradecký kraj,Manželské páry,93795
Počet domácností tvořených jednou rodinou,2021,Královéhradecký kraj,Faktická manželství,25142
Počet domácností tvořených jednou rodinou,2021,Královéhradecký kraj,Registrovaná partnerství,61
Počet domácností tvořených jednou rodinou,2021,Královéhradecký kraj,Faktická partnerství,160
Počet domácností tvořených jednou rodinou,2021,Královéhradecký kraj,Neúplné rodiny celkem,25229
Počet domácností tvořených jednou rodinou,2021,Královéhradecký kraj,Osamělý otec,4025
Počet domácností tvořených jednou rodinou,2021,Královéhradecký kraj,Osamělá matka,21204
Počet domácností tvořených jednou rodinou,2021,Pardubický kraj,Domácnosti tvořené jednou rodinou,136628
Počet domácností tvořených jednou rodinou,2021,Pardubický kraj,Úplné rodiny celkem,113778
Počet domácností tvořených jednou rodinou,2021,Pardubický kraj,Manželské páry,90797
Počet domácností tvořených jednou rodinou,2021,Pardubický kraj,Faktická manželství,22782
Počet domácností tvořených jednou rodinou,2021,Pardubický kraj,Registrovaná partnerství,58
Počet domácností tvořených jednou rodinou,2021,Pardubický kraj,Faktická partnerství,141
Počet domácností tvořených jednou rodinou,2021,Pardubický kraj,Neúplné rodiny celkem,22850
Počet domácností tvořených jednou rodinou,2021,Pardubický kraj,Osamělý otec,3693
Počet domácností tvořených jednou rodinou,2021,Pardubický kraj,Osamělá matka,19157
Počet domácností tvořených jednou rodinou,2021,Kraj Vysočina,Domácnosti tvořené jednou rodinou,132891
Počet domácností tvořených jednou rodinou,2021,Kraj Vysočina,Úplné rodiny celkem,111762
Počet domácností tvořených jednou rodinou,2021,Kraj Vysočina,Manželské páry,93427
Počet domácností tvořených jednou rodinou,2021,Kraj Vysočina,Faktická manželství,18208
Počet domácností tvořených jednou rodinou,2021,Kraj Vysočina,Registrovaná partnerství,40
Počet domácností tvořených jednou rodinou,2021,Kraj Vysočina,Faktická partnerství,87
Počet domácností tvořených jednou rodinou,2021,Kraj Vysočina,Neúplné rodiny celkem,21129
Počet domácností tvořených jednou rodinou,2021,Kraj Vysočina,Osamělý otec,3566
Počet domácností tvořených jednou rodinou,2021,Kraj Vysočina,Osamělá matka,17563
Počet domácností tvořených jednou rodinou,2021,Jihomoravský kraj,Domácnosti tvořené jednou rodinou,313064
Počet domácností tvořených jednou rodinou,2021,Jihomoravský kraj,Úplné rodiny celkem,256692
Počet domácností tvořených jednou rodinou,2021,Jihomoravský kraj,Manželské páry,201523
Počet domácností tvořených jednou rodinou,2021,Jihomoravský kraj,Faktická manželství,54274
Počet domácností tvořených jednou rodinou,2021,Jihomoravský kraj,Registrovaná partnerství,217
Počet domácností tvořených jednou rodinou,2021,Jihomoravský kraj,Faktická partnerství,678
Počet domácností tvořených jednou rodinou,2021,Jihomoravský kraj,Neúplné rodiny celkem,56372
Počet domácností tvořených jednou rodinou,2021,Jihomoravský kraj,Osamělý otec,8348
Počet domácností tvořených jednou rodinou,2021,Jihomoravský kraj,Osamělá matka,48024
Počet domácností tvořených jednou rodinou,2021,Olomoucký kraj,Domácnosti tvořené jednou rodinou,166342
Počet domácností tvořených jednou rodinou,2021,Olomoucký kraj,Úplné rodiny celkem,136049
Počet domácností tvořených jednou rodinou,2021,Olomoucký kraj,Manželské páry,108066
Počet domácností tvořených jednou rodinou,2021,Olomoucký kraj,Faktická manželství,27645
Počet domácností tvořených jednou rodinou,2021,Olomoucký kraj,Registrovaná partnerství,91
Počet domácností tvořených jednou rodinou,2021,Olomoucký kraj,Faktická partnerství,247
Počet domácností tvořených jednou rodinou,2021,Olomoucký kraj,Neúplné rodiny celkem,30293
Počet domácností tvořených jednou rodinou,2021,Olomoucký kraj,Osamělý otec,4546
Počet domácností tvořených jednou rodinou,2021,Olomoucký kraj,Osamělá matka,25747
Počet domácností tvořených jednou rodinou,2021,Zlínský kraj,Domácnosti tvořené jednou rodinou,150510
Počet domácností tvořených jednou rodinou,2021,Zlínský kraj,Úplné rodiny celkem,124044
Počet domácností tvořených jednou rodinou,2021,Zlínský kraj,Manželské páry,102769
Počet domácností tvořených jednou rodinou,2021,Zlínský kraj,Faktická manželství,21093
Počet domácností tvořených jednou rodinou,2021,Zlínský kraj,Registrovaná partnerství,42
Počet domácností tvořených jednou rodinou,2021,Zlínský kraj,Faktická partnerství,140
Počet domácností tvořených jednou rodinou,2021,Zlínský kraj,Neúplné rodiny celkem,26466
Počet domácností tvořených jednou rodinou,2021,Zlínský kraj,Osamělý otec,4024
Počet domácností tvořených jednou rodinou,2021,Zlínský kraj,Osamělá matka,22442
Počet domácností tvořených jednou rodinou,2021,Moravskoslezský kraj,Domácnosti tvořené jednou rodinou,310235
Počet domácností tvořených jednou rodinou,2021,Moravskoslezský kraj,Úplné rodiny celkem,251785
Počet domácností tvořených jednou rodinou,2021,Moravskoslezský kraj,Manželské páry,198925
Počet domácností tvořených jednou rodinou,2021,Moravskoslezský kraj,Faktická manželství,52232
Počet domácností tvořených jednou rodinou,2021,Moravskoslezský kraj,Registrovaná partnerství,155
Počet domácností tvořených jednou rodinou,2021,Moravskoslezský kraj,Faktická partnerství,473
Počet domácností tvořených jednou rodinou,2021,Moravskoslezský kraj,Neúplné rodiny celkem,58450
Počet domácností tvořených jednou rodinou,2021,Moravskoslezský kraj,Osamělý otec,8305
Počet domácností tvořených jednou rodinou,2021,Moravskoslezský kraj,Osamělá matka,50145
