Ukazatel,Území,Věkové skupiny,Roky,value
Nezaměstnaní (tis. osob),Česko,35 až 44 let,1998,
Nezaměstnaní (tis. osob),Česko,35 až 44 let,1999,
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2000,
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2001,
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2002,
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2003,
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2004,
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2005,
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2006,75.1299653564
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2007,60.6409036322
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2008,46.6969207425
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2009,69.9
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2010,79.602740737125
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2011,77.4823950825
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2012,81.953620255
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2013,89.13485526
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2014,78.9047442425
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2015,65.2932003225
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2016,48.68958555
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2017,40.9830759
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2018,29.30765395
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2019,25.445953675
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2020,32.468018175
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2021,40.4079508
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2022,30.23619425
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2023,30.166900143
Nezaměstnaní (tis. osob),Česko,35 až 44 let,2024,31.310978387
Nezaměstnaní (tis. osob),Česko,45 až 54 let,1993,
Nezaměstnaní (tis. osob),Česko,45 až 54 let,1994,
Nezaměstnaní (tis. osob),Česko,45 až 54 let,1995,
Nezaměstnaní (tis. osob),Česko,45 až 54 let,1996,
Nezaměstnaní (tis. osob),Česko,45 až 54 let,1997,
Nezaměstnaní (tis. osob),Česko,45 až 54 let,1998,
Nezaměstnaní (tis. osob),Česko,45 až 54 let,1999,
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2000,
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2001,
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2002,
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2003,
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2004,
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2005,
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2006,84.199787822
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2007,63.1881414732
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2008,51.6918916475
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2009,68.4
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2010,78.76925335345
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2011,72.6684625275
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2012,70.528078585
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2013,69.13300409
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2014,63.5652810975
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2015,49.356063545
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2016,38.5558168
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2017,31.252399925
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2018,22.505951775
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2019,20.569892875
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2020,24.803575925
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2021,29.8778779
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2022,25.909753825
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2023,25.523372006
Nezaměstnaní (tis. osob),Česko,45 až 54 let,2024,29.310286923
Nezaměstnaní (tis. osob),Česko,55 a více let,1993,
Nezaměstnaní (tis. osob),Česko,55 a více let,1994,
Nezaměstnaní (tis. osob),Česko,55 a více let,1995,
Nezaměstnaní (tis. osob),Česko,55 a více let,1996,
Nezaměstnaní (tis. osob),Česko,55 a více let,1997,
Nezaměstnaní (tis. osob),Česko,55 a více let,1998,
Nezaměstnaní (tis. osob),Česko,55 a více let,1999,
Nezaměstnaní (tis. osob),Česko,55 a více let,2000,
Nezaměstnaní (tis. osob),Česko,55 a více let,2001,
Nezaměstnaní (tis. osob),Česko,55 a více let,2002,
Nezaměstnaní (tis. osob),Česko,55 a více let,2003,
Nezaměstnaní (tis. osob),Česko,55 a více let,2004,
Nezaměstnaní (tis. osob),Česko,55 a více let,2005,
Nezaměstnaní (tis. osob),Česko,55 a více let,2006,36.9988335803
Nezaměstnaní (tis. osob),Česko,55 a více let,2007,32.8948812427
Nezaměstnaní (tis. osob),Česko,55 a více let,2008,28.7275664746
Nezaměstnaní (tis. osob),Česko,55 a více let,2009,42.0
Nezaměstnaní (tis. osob),Česko,55 a více let,2010,49.310321185475
Nezaměstnaní (tis. osob),Česko,55 a více let,2011,45.117148095
Nezaměstnaní (tis. osob),Česko,55 a více let,2012,47.53867157
Nezaměstnaní (tis. osob),Česko,55 a více let,2013,47.67884776
Nezaměstnaní (tis. osob),Česko,55 a více let,2014,40.95317594
Nezaměstnaní (tis. osob),Česko,55 a více let,2015,36.5145543675
Nezaměstnaní (tis. osob),Česko,55 a více let,2016,32.584061525
Nezaměstnaní (tis. osob),Česko,55 a více let,2017,21.482218175
Nezaměstnaní (tis. osob),Česko,55 a více let,2018,18.423539125
Nezaměstnaní (tis. osob),Česko,55 a více let,2019,18.0559129
Nezaměstnaní (tis. osob),Česko,55 a více let,2020,18.249063325
Nezaměstnaní (tis. osob),Česko,55 a více let,2021,22.5997822
Nezaměstnaní (tis. osob),Česko,55 a více let,2022,19.674933475
Nezaměstnaní (tis. osob),Česko,55 a více let,2023,21.211584169
Nezaměstnaní (tis. osob),Česko,55 a více let,2024,20.661021146
